user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
GL_R12_GL15_UP_2_L2.2.2.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	79.96	0.51	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 78.48, 0.43; GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 78.46, 0.49; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 78.3, 0.43; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 78.17, 0.45; GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 77.98, 0.48; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 77.94, 0.47; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.9, 0.03; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 77.88, 0.44; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 77.36, 0.04	40.75	11	0.986815202823	N/A
GL_R10_GL11_UP_3_maxbin_res.008.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	79.47	0.44	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 78.58, 0.37; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 78.28, 0.34; GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 78.17, 0.44; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 78.09, 0.34; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 78.01, 0.4; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 77.98, 0.39; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 77.93, 0.26; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.89, 0.37; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 77.88, 0.34; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 77.84, 0.39; GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 77.81, 0.38; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 77.8, 0.29; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 77.72, 0.39; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 77.7, 0.36; GCA_002413395.1, s__Polaromonas sp002413395, 95.0, 77.58, 0.28; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 77.58, 0.38; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 77.53, 0.47; GCA_002256925.1, s__Polaromonas sp002256925, 95.0, 77.31, 0.24; GCA_001770785.1, s__Polaromonas sp001770785, 95.0, 77.17, 0.25	56.57	11	0.986460392083	N/A
GL_R11_GL15_UP_1_maxbin_res.009.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	N/A	15.75	4	0.984733910967	N/A
GL_R21_GL16_DN_2_maxbin_res.022.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	N/A	50.73	11	0.983573092834	Genome has more than 20.0% of markers with multiple hits
GL_R58_GL46_UP_3_maxbin_res.014.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	79.02	0.41	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 78.3, 0.33; GCA_002256925.1, s__Polaromonas sp002256925, 95.0, 78.26, 0.31; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 78.15, 0.32; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 78.12, 0.3; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 78.1, 0.3; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 78.03, 0.29; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 78.02, 0.26; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 77.99, 0.32; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 77.96, 0.26; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 77.94, 0.27; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 77.92, 0.26; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 77.9, 0.29; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 77.9, 0.25; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.85, 0.28; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 77.79, 0.24; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 77.74, 0.26; GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 77.74, 0.3; GCA_002413395.1, s__Polaromonas sp002413395, 95.0, 77.59, 0.21; GCA_001770785.1, s__Polaromonas sp001770785, 95.0, 77.37, 0.23	92.78	11	0.9831739748	Genome has more than 25.8% of markers with multiple hits
GL_R56_GL46_UP_1_G2.1.2.1.1.1.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	78.79	0.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 78.38, 0.42; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 78.24, 0.41; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 78.21, 0.36; GCA_002256925.1, s__Polaromonas sp002256925, 95.0, 78.17, 0.25; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 78.15, 0.37; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 78.02, 0.39; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 78.02, 0.37; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 77.99, 0.31; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 77.96, 0.31; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 77.95, 0.31; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 77.95, 0.35; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.9, 0.34; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 77.89, 0.33; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 77.8, 0.32; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 77.78, 0.29; GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 77.74, 0.36; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 77.69, 0.31; GCA_002413395.1, s__Polaromonas sp002413395, 95.0, 77.67, 0.27; GCA_001770785.1, s__Polaromonas sp001770785, 95.0, 77.38, 0.25	71.43	11	0.982971003232	Genome has more than 12.5% of markers with multiple hits
GL_R2_GL5_UP_2_O1.2.2.1.5.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	78.95	0.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 77.67, 0.31; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 77.66, 0.3; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 77.57, 0.25; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 77.53, 0.31; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 77.53, 0.28; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 77.48, 0.26; GCA_002256925.1, s__Polaromonas sp002256925, 95.0, 77.47, 0.21; GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 77.46, 0.36; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 77.45, 0.3; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 77.44, 0.34; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 77.39, 0.29; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 77.39, 0.33; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 77.33, 0.29; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.28, 0.31; GCA_002413395.1, s__Polaromonas sp002413395, 95.0, 77.27, 0.2; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 77.25, 0.29; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 77.24, 0.25; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 77.17, 0.33; GCA_001770785.1, s__Polaromonas sp001770785, 95.0, 77.06, 0.22	54.52	11	0.982914235797	N/A
GL_R59_GL47_UP_1_maxbin_res.010.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	79.09	0.43	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 78.49, 0.36; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 78.3, 0.35; GCA_002256925.1, s__Polaromonas sp002256925, 95.0, 78.28, 0.3; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 78.24, 0.32; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 78.16, 0.27; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 78.14, 0.31; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 78.09, 0.29; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 78.08, 0.33; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 78.07, 0.3; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 78.05, 0.33; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 78.05, 0.25; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 78.03, 0.32; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 77.96, 0.28; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 77.91, 0.31; GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 77.82, 0.32; GCA_002413395.1, s__Polaromonas sp002413395, 95.0, 77.8, 0.23; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 77.75, 0.28; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.72, 0.31; GCA_001770785.1, s__Polaromonas sp001770785, 95.0, 77.65, 0.24	93.37	11	0.982735304935	Genome has more than 15.0% of markers with multiple hits
GL_R3_GL5_UP_3_L3.28.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	77.92	0.27	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 77.55, 0.31; GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 77.53, 0.37; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 77.51, 0.31; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 77.46, 0.31; GCA_002256925.1, s__Polaromonas sp002256925, 95.0, 77.45, 0.24; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 77.44, 0.36; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 77.42, 0.3; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 77.36, 0.24; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 77.34, 0.3; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 77.32, 0.28; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 77.3, 0.29; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 77.29, 0.31; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 77.27, 0.32; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 77.23, 0.35; GCA_001770785.1, s__Polaromonas sp001770785, 95.0, 77.21, 0.22; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.18, 0.31; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 77.18, 0.28; GCA_002413395.1, s__Polaromonas sp002413395, 95.0, 77.08, 0.2; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 77.01, 0.28	48.95	11	0.982637364198	N/A
GL_R19_GL16_UP_3_maxbin_res.029.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 78.32, 0.04; GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 78.25, 0.2; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 78.19, 0.2; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 77.96, 0.22; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 77.93, 0.2; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 77.9, 0.19; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 77.9, 0.19; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 77.88, 0.21; GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 77.88, 0.23; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 77.88, 0.22; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 77.87, 0.04; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.74, 0.2; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 77.69, 0.22; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 77.61, 0.2; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 77.53, 0.2; GCA_002413395.1, s__Polaromonas sp002413395, 95.0, 77.28, 0.04	45.83	11	0.982003027165	Genome has more than 15.8% of markers with multiple hits
GL_R3_GL5_UP_3_L2.4.15.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	77.86	0.28	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 77.57, 0.32; GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 77.47, 0.31; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 77.46, 0.37; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 77.43, 0.32; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 77.42, 0.3; GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 77.42, 0.38; GCA_002256925.1, s__Polaromonas sp002256925, 95.0, 77.41, 0.25; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 77.38, 0.31; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 77.36, 0.32; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 77.31, 0.26; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.28, 0.31; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 77.27, 0.28; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 77.26, 0.33; GCA_001770785.1, s__Polaromonas sp001770785, 95.0, 77.26, 0.23; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 77.25, 0.33; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 77.23, 0.36; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 77.22, 0.29; GCA_002413395.1, s__Polaromonas sp002413395, 95.0, 77.0, 0.21; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 76.95, 0.29	45.24	11	0.981655129325	N/A
GL_R56_GL46_UP_1_maxbin_res.028.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	N/A	36.96	11	0.981444829811	N/A
GL_R58_GL46_UP_3_maxbin_res.021.fasta.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	78.54	0.23	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_000709345.1, s__Polaromonas glacialis, 95.0, 78.44, 0.29; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 78.4, 0.28; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 78.4, 0.28; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 78.34, 0.25; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 78.33, 0.3; GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 78.28, 0.32; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 78.26, 0.28; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 78.26, 0.3; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 78.25, 0.31; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 78.2, 0.28; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 78.16, 0.24; GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 78.07, 0.34; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 78.0, 0.34; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 77.95, 0.27; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 77.91, 0.32; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 77.88, 0.32; GCA_001770785.1, s__Polaromonas sp001770785, 95.0, 77.7, 0.05; GCA_002413395.1, s__Polaromonas sp002413395, 95.0, 77.64, 0.26	55.02	11	0.98135582532	Genome has more than 15.8% of markers with multiple hits
GL_R21_GL16_DN_2_L3.5.2_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	N/A	31.79	11	0.981067945041	N/A
GL_R21_GL16_DN_2_maxbin_res.005.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	N/A	45.54	11	0.979526434496	Genome has more than 12.5% of markers with multiple hits
GL_R80_GL56_UP_1_maxbin_res.079.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	78.25	0.31	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 78.54, 0.35; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 78.52, 0.29; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 78.51, 0.33; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 78.46, 0.39; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 78.29, 0.36; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 78.27, 0.35; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 78.18, 0.33; GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 78.13, 0.4; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 78.05, 0.38; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 78.02, 0.38; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 77.97, 0.38; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.91, 0.37; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 77.89, 0.3; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 77.82, 0.4; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 77.65, 0.44; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 77.53, 0.31	44.78	11	0.979015601405	Genome has more than 22.5% of markers with multiple hits
GL_R10_GL11_UP_3_maxbin_res.019.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	N/A	23.65	11	0.978848361255	N/A
GL_R17_GL16_UP_1_maxbin_res.014.fasta_sub.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_004293655.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp004293655	78.09	0.27	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	Placement	taxonomic classification fully defined by topology	GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 78.07, 0.39; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 78.03, 0.4; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 77.97, 0.38; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 77.95, 0.36; GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 77.94, 0.39; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 77.94, 0.37; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 77.89, 0.34; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 77.87, 0.35; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 77.8, 0.37; GCA_002256925.1, s__Polaromonas sp002256925, 95.0, 77.78, 0.23; GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 77.77, 0.38; GCF_000751355.1, s__Polaromonas sp000751355, 95.0, 77.66, 0.38; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 77.66, 0.37; GCA_001770785.1, s__Polaromonas sp001770785, 95.0, 77.59, 0.26; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 77.56, 0.37; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 77.54, 0.32; GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 77.49, 0.33; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 77.34, 0.31; GCA_002413395.1, s__Polaromonas sp002413395, 95.0, 77.17, 0.3	82.9	11	0.978790109234	Genome has more than 15.0% of markers with multiple hits
